V0000278412	メアリーさん、週末はたいてい何をしますか。	メアリーさん、しゅうまつはたいていなにをしますか 
V0000278413	たいていうちで勉強します。でも、ときどき映画を見ます。	たいていうちでべんきょうします。でも、ときどきえいがをみます。 
V0000278414	土曜日に映画を見ませんか。	どようびにえいがをみませんか 
V0000278415	今日は京都に行きます。	きょうはきょうとにいきます 
V0000278416	図書館で本を読みます。	としょかんでほんをよみます 
V0000278417	私は今日学校に行きません。	わたしはきょうがっこうにいきません 
V0000278418	十一時に寝ます。	じゅういちじにねます 
V0000278419	十時四十二分に起きます。	じゅうじよんじゅうにふんにおきます 
V0000278420	晩ごはんは？	ばんごはんは？ 
V0000278421	何時に昼ごはんを食べますか。	なんじにひるごはんをたべますか 
V0000278422	三じに図書館で日本語を勉強します。	さんじにとしょかんでにほんごをべんきょうします 
V0000278423	マクドナルドはあのデパトーの前ですよ。	マクドナルドはあのデパトのまえですよ 
V0000278424	お寺で写真をたくさん撮りました。	おてらでしゃしんをたくさんとりました 
V0000278425	メアリーさん、さっき電話がありましたよ。	メアリーさん、さっきでんわがありましたよ 
V0000278426	あしたは日本語のクラスがありません。	あしたはにほんごのクラスがありません 
V0000278427	レストランはデパトと病院の間です。	レストランはデパトとびょういんのあいだです 
V0000278428	私はハーゲンダッツの前でメアリーさんを待ちました。	わたしはハーゲンダッツのまえでメアイリーさんをまちました 
V0000278429	あなたの家に猫がいますか。	あなたのうちにねこがいますか 
V0000278430	きれいな海。泳ぎましょう。	きれいなうみ。およぎましょう 
V0000278431	七十円切手を二枚お願いします。それから、五十円切手を一枚ください。	ななじゅうえんきってをにまいおねがいします。それから、ごじゅうえんきってをいちまいください。 
V0000278432	はがきありがとう。旅行は楽しかったですか。	はがきありがとう。りょこうはたのしかったですか 
V0000278433	この部屋はちょっと暑いです。	このへやはちょっとあついです 
V0000278434	ここに名前と電話番号をお願いします。	ここになまえとでんわばんごうをおねがいします 
V0000278435	ロバートさん、起きてください。クラスで寝てはいけませんよ。	ロバートさん、おきてください。クラスでねてはいけませんよ 
V0000278436	喫茶店でコーヒーを飲みましょうか。	きっさてんでコーヒーをのみましょうか 
V0000278437	バスに乗って、会社に行きます。	バスにのって、かいしゃにいきます 
V0000278438	週末には、十時ごら起きて、遅い朝ごはんを食べます。	しゅうまつには、じゅうじごろおきて、おそいあさごはんをたべます 
V0000278439	きのう、遅く寝ました。	きのう、あそくねました。 
V0000278440	映画の切符が二枚あります。今晩一緒に行きませんか。	えいがのきっぷがにまいあります。こんばんいっしょにいきませんか 
V0000278441	リーさんは切手を三枚買いました。	リーさんはきってをさんまいかいました。 
V0000278442	何日ぐらいかかりますか。	なんにちぐらいかかりますか 
V0000278443	今日は家に帰って、勉強します。	きょはいえにかえって、べんきょうします 
V0000278444	教科書のテープを聞いてください。	きょうかしょのテープをきいてください 
V0000278445	教科書を見てもいいですか。	きょうかしょをみてもいいですか 
V0000278446	ノートを借りて、コピーします。	ノートをかりて、コピーします 
