V0000336092	三が日
V0000336093	あけましておめでとうございます。
V0000336094	麺
V0000336095	項目
V0000336096	注文する
V0000336097	オーダー用紙
V0000336098	集中する
V0000336099	のれん
V0000336100	両脇
V0000336101	食券
V0000336102	かため
V0000336103	今日は、ラーメンに詳しい、岩上さんと一緒に、最近話題になっているユニークなラーメン屋さんにいってみようと思います。	
V0000336104	今日は、ラーメンに詳しい、岩上さんと一緒に、最近話題になっているユニークなラーメン屋さんにいってみようと思います。 
V0000336105	岩上さん、よろしくお願いします。	
V0000336106	岩上さん、よろしくお願いします。 
P0000149616	今回紹介したいラーメン店はこちらの「一番
P0000149616	（いちばんぼし）です。	
P0000149617	今回紹介したいラーメン店はこちらの「一番
P0000149617	（いちばんぼし）です。 
V0000336107	では、早速入ってみましょう。	
V0000336108	では、早速入ってみましょう。 
V0000336109	（ガラガラガラ）まず最初に、この機械にお金を入れて、食券を買います。	
V0000336110	（ガラガラガラ）まず最初に、この機械にお金を入れて、食券を買います。 
V0000336111	おや？カウンターのそれぞれ席の両脇に仕切りと、前にのれんがありますねー。	
V0000336112	おや？カウンターのそれぞれ席の両脇に仕切りと、前にのれんがありますねー。 
V0000336113	そうなんですよ。	
V0000336114	そうなんですよ。 
V0000336115	この仕切りは、お客さんにラーメンの味に集中してもらうために作ってあります。	
V0000336116	この仕切りは、お客さんにラーメンの味に集中してもらうために作ってあります。 
V0000336117	このカウンター席に座ると、両脇も前も見えませんからね。	
V0000336118	このカウンター席に座ると、両脇も前も見えませんからね。 
V0000336119	なるほどー。	
V0000336120	なるほどー。 
V0000336121	あと、このシステムがあるため、女性のお客さんも多いんです。	
V0000336122	あと、このシステムがあるため、女性のお客さんも多いんです。 
V0000336123	ああ、一人ではラーメン屋さんに入りにくい・・・と感じる女性は多いですからね。	
V0000336124	ああ、一人ではラーメン屋さんに入りにくい・・・と感じる女性は多いですからね。 
V0000336125	そのとおりです。	
V0000336126	そのとおりです。 
V0000336127	それから、このお店のラーメンのスープはトンコツ味なんですが・・・はい、オーダー用紙と鉛筆。	
V0000336128	それから、このお店のラーメンのスープはトンコツ味なんですが・・・はい、オーダー用紙と鉛筆。 
V0000336129	ん？このオーダー用紙に自分で書いて、注文するんですか？	
V0000336130	ん？このオーダー用紙に自分で書いて、注文するんですか？ 
V0000336131	そうです。自分の食べたい味になるように、味を選ぶんです。	
V0000336132	そうです。自分の食べたい味になるように、味を選ぶんです。 
V0000336133	オーダー用紙に書いてある項目にマルをしてください。	
V0000336134	オーダー用紙に書いてある項目にマルをしてください。 
V0000336135	へー。じゃ、わたしは・・・・スープは...こってり。（マルをする音）麺はかため・・・	
V0000336136	へー。じゃ、わたしは・・・・スープは...こってり。（マルをする音）麺はかため・・・ 
V0000336137	伺う
V0000336138	恨み
V0000336139	怪しい
V0000336140	恐ろしい
V0000336141	過去
V0000336142	推理小説家
V0000336143	宝石店
V0000336144	店主
V0000336145	握る
P0000149618	みなさん、こんばんは。
P0000149618	マキコです。	
P0000149619	みなさん、こんばんは。
P0000149619	マキコです。 
V0000336146	今日は、推理小説家、東五郎先生に先生の新作「ダイングメッセージ」についてお話を伺いたいと思います。	
V0000336147	"今日は、推理小説家、東五郎先生に先生の新作「ダイングメッセージ」についてお話を伺いたいと思います。 
V0000336148	先生よろしくお願いします。	
V0000336149	先生よろしくお願いします。 
V0000336150	はい。この小説は、「ダイングメッセージ」で犯人がわかったところから、物語が始まります。	
V0000336151	"はい。この小説は、「ダイングメッセージ」で犯人がわかったところから、物語が始まります。 
V0000336152	「ある宝石店の店主が殺された。当然、鍵は閉めてあった。	
V0000336153	"「ある宝石店の店主が殺された。当然、鍵は閉めてあった。 
V0000336154	店の床には、ダイアモンドが何個も落ちていた。	
V0000336155	店の床には、ダイアモンドが何個も落ちていた。 
V0000336156	店主はダイアモンドをひとつ握っていたが、お店の宝石や現金は一つも盗まれていなかった。	
V0000336157	店主はダイアモンドをひとつ握っていたが、お店の宝石や現金は一つも盗まれていなかった。 
V0000336158	警察は店主に恨みを持った者が犯人であると考え、野田節子、中村幸子、斉藤順子の3人が怪しいと考えた。	
V0000336159	警察は店主に恨みを持った者が犯人であると考え、野田節子、中村幸子、斉藤順子の3人が怪しいと考えた。 
V0000336160	一人の刑事が、容疑者の誕生日を調べた。	
V0000336161	一人の刑事が、容疑者の誕生日を調べた。 
V0000336162	野田は3月生まれ、中村は4月生まれで、斉藤は12月生まれである。」	
V0000336163	"野田は3月生まれ、中村は4月生まれで、斉藤は12月生まれである。」 
V0000336164	おおお、簡単に犯人が分かりましたね。私にも犯人がだれか分かります。	
V0000336165	おおお、簡単に犯人が分かりましたね。私にも犯人がだれか分かります。 
V0000336166	そして、そこから、犯人の悲しい人生、殺された店主の恐ろしい過去がわかっていく・・・という物語です。	
V0000336167	そして、そこから、犯人の悲しい人生、殺された店主の恐ろしい過去がわかっていく・・・という物語です。 
V0000336168	では、ここでコマーシャルが入ります。	
V0000336169	では、ここでコマーシャルが入ります。 
V0000336170	歴史
V0000336171	ファイルする
V0000336172	プラモデル
V0000336173	年代順
V0000336174	訪問する
V0000336175	戦国武将
V0000336176	眺める
V0000336177	資料
V0000336178	本棚
V0000336179	城
V0000336180	みなさんは、「歴女」という言葉を聞いた事はありますか？	
V0000336181	"みなさんは、「歴女」という言葉を聞いた事はありますか？ 
V0000336182	「歴史が好きな女の人」を短くして、「歴女」ですが、今回は、そんな「歴女」さん、山田花さんのお家を訪問したいと思います。	
V0000336183	"「歴史が好きな女の人」を短くして、「歴女」ですが、今回は、そんな「歴女」さん、山田花さんのお家を訪問したいと思います。 
V0000336184	はーい。（ガチャ）	
V0000336185	はーい。（ガチャ） 
V0000336186	こんにちは、よろしくお願いします。	
V0000336187	こんにちは、よろしくお願いします。 
V0000336188	こちらこそ。	
V0000336189	こちらこそ。 
V0000336190	お邪魔します。	
V0000336191	お邪魔します。 
V0000336192	おっと、ものすごい数のプラモデルが飾ってありますね。	
V0000336193	おっと、ものすごい数のプラモデルが飾ってありますね。 
V0000336194	はい。これは、戦国武将のプラモデルなんです。	
V0000336195	はい。これは、戦国武将のプラモデルなんです。 
V0000336196	おおお、本棚は、さすがに歴史関係の本ばかりですね。	
V0000336197	おおお、本棚は、さすがに歴史関係の本ばかりですね。 
V0000336198	これは年代順に並べてあるんですね？	
V0000336199	はい。これが、私の歴史ファイルです。	
V0000336200	はい。これが、私の歴史ファイルです。 
