V0000345781	中止？私は何も聞いてないぞ。 
V0000345782	はい、川本さんが来られません。	
V0000345783	はい、川本さんが来られません。 
V0000345784	来られない？何で。	
V0000345785	来られない？何で。 
V0000345786	そこまで、ちょっとわかりませんが。	
V0000345787	そこまで、ちょっとわかりませんが。 
V0000345788	わかった。川本さんに連絡して日程を変更して。	
V0000345789	わかった。川本さんに連絡して日程を変更して。 
V0000345790	はい、わかりました。	
V0000345791	はい、わかりました。 
V0000345792	ぼちぼち
V0000345793	ばっちり
V0000345794	ラブラブ
V0000345795	イケメン
V0000345796	モテモテ
V0000345797	久しぶり！元気？	
V0000345798	久しぶり！元気？ 
V0000345799	ぼちぼち。かおるは？	
V0000345800	ぼちぼち。かおるは？ 
V0000345801	ばっちり。新しい彼氏ができた。もーラブラブだよ。優しくて。	
V0000345802	ばっちり。新しい彼氏ができた。もーラブラブだよ。優しくて。 
V0000345803	よかったね。前の彼はいつもイライラしてたからね。	
V0000345804	よかったね。前の彼はいつもイライラしてたからね。 
V0000345805	でもね、彼はイケメンだからモテモテで、ちょっと心配。	
V0000345806	でもね、彼はイケメンだからモテモテで、ちょっと心配。 
V0000345807	大丈夫だよ！	
V0000345808	大丈夫だよ！ 
V0000345809	っていうか
V0000345810	ひどい
V0000345811	口にする
V0000345812	マジで
V0000345813	かわいそう
V0000345814	どうだった？	
V0000345815	どうだった？ 
V0000345816	ばっちりだったよ。	
V0000345817	ばっちりだったよ。 
P0000150309	っていうか。もっとうるさくなったけど
P0000150309	何て言ったの？	
P0000150310	っていうか。もっとうるさくなったけど
P0000150310	何て言ったの？ 
V0000345818	あまり言いたくない。いや、言えない。ひどい事を言ったから。	
V0000345819	あまり言いたくない。いや、言えない。ひどい事を言ったから。 
V0000345820	ドアにノックの音
V0000345821	違法
V0000345822	捕まる
V0000345823	命
V0000345824	飲酒運転
V0000345825	捕まえる
V0000345826	久しぶりのドライブは楽しいね。	
V0000345827	久しぶりのドライブは楽しいね。 
V0000345828	（よしの電話が鳴る）	
V0000345829	もしもし。おー。元気？	
V0000345830	もしもし。おー。元気？ 
