V0000399258	それはとってもいい話だ。	それはとってもいいはなしだ 
V0000399259	私は絵を見るのが好きです。	わたしはえをみるのがすきです 
V0000399260	そこに大きな円を描いて。	そこにおおきなえんをかいて 
V0000399261	京都にはお寺が多い。	きょうとにはおてらがおおい 
V0000399262	家に遊びに来てください。	うちにあそびにきてください 
V0000399263	これをください。	これをください 
V0000399264	彼の車は新しい。	かれのくるまはあたらしい 
V0000399265	私が行きましょう。	わたしがいきましょう 
V0000399266	3月は仕事が忙しい。	さんがつはしごとがいそがしい 
V0000399267	テストを始めてください。	てすとをはじめてください 
V0000399268	彼は医者になりました。	かれはいしゃになりました 
V0000399269	友達と一緒に宿題をした。	ともだちといっしょにしゅくだいをした 
V0000399270	今朝は早く家を出ました。	けさははやくいえをでました 
V0000399271	このパソコンを使ってください。	このぱそこんをつかってください 
V0000399272	私は友達のところに泊まった。	わたしはともだちのところにとまった 
V0000399273	私もそう思います。	わたしもそうおもいます 
V0000399274	私は車を持っています。	わたしはくるまをもっています 
V0000399275	今は時間がありません。	いまはじかんがありません 
V0000399276	今年はイタリアに旅行したい。	ことしはいたりあにりょこうしたい 
V0000399277	誰もその話を知らない。	だれもそのはなしをしらない 
V0000399278	今、朝ご飯を作っています。	いまあさごはんをつくっています 
V0000399279	彼の日本語のレベルは私と同じ位だ。	かれのにほんごのれべるはわたしとおなじくらいだ 
V0000399280	彼は今、勉強しています。	かれはいまべんきょうしています 
V0000399281	工事は3月まで続きます。	こうじはさんがつまでつづきます 
V0000399282	私の国について少しお話しましょう。	わたしのくにについてすこしおはなししましょう 
V0000399283	宿題は未だ終わっていません。	しゅくだいはまだおわっていません 
V0000399284	一緒に宿題をやろう。	いっしょにしゅくだいをやろう 
P0000185125	上司が「一杯、飲もう。	
P0000185125	と言った。 
P0000185125	じょうしがいっぱいのもうといった
V0000399285	今年は雨が少ないです。	ことしはあめがすくないです 
V0000399286	日曜日は図書館に行きます。	にちようびはとしょかんにいきます 
V0000399287	帰国することに決めました。	きこくすることにきめました 
V0000399288	これがこの町で一番高いビルです。	これがこのまちでいちばんたかいびるです 
V0000399289	よく考えてください。	よくかんがえてください 
