V0000316097	さんがにち
V0000316098	あけましておめでとうございます。
V0000316099	ぞうに
V0000316100	おせちりょうり
V0000316101	おとしだま
V0000316102	ふくろ
V0000316103	にねんまいり
V0000316104	がんたん
V0000316105	ごちそうさま。
V0000316106	かんぱい
V0000316107	おいしい
V0000316108	いただきます。
V0000316109	いただく
V0000316110	かんぱい
V0000316111	なっとう
V0000316112	まあまあ
V0000316113	はじめまして
V0000316114	わたし
V0000316115	よろしく
V0000316116	おねがいします。
V0000316117	やまぐち
V0000316118	わたなべ
V0000316119	はじめまして。	
V0000316120	はじめまして。 
V0000316121	わたしはやまぐちちぐさです。	
V0000316122	わたしはやまぐちちぐさです。 
V0000316123	よろしくおねがいします。	
V0000316124	よろしくおねがいします。 
V0000316125	はじめまして。	
V0000316126	はじめまして。 
V0000316127	ゴールデンウィークが おわってから、ぜんぜん やるきも でないんだよね。	
V0000316128	ゴールデンウィークが おわってから、ぜんぜん やるきも でないんだよね。 
V0000316129	あ、おれも！あさ ぜんぜん おきられないし、いちにちじゅう だるいんだよな。	
V0000316130	あ、おれも！あさ ぜんぜん おきられないし、いちにちじゅう だるいんだよな。 
V0000316131	あ、ばばせんせいだ。	
V0000316132	あ、ばばせんせいだ。 
V0000316133	こんにちは。	
V0000316134	こんにちは。 
V0000316135	こんにちは。どうした？ふたりとも、ねむそうなかおして。	
V0000316136	こんにちは。どうした？ふたりとも、ねむそうなかおして。 
V0000316137	いま、「さいきん なんだか だるくて・・・」というはなしを していたところだったんですよ。	
V0000316138	いま、「さいきん なんだか だるくて・・・」というはなしを していたところだったんですよ。 
V0000316139	あー、それは ごがつびょうじゃないですか。	
V0000316140	あー、それは ごがつびょうじゃないですか。 
V0000316141	ごがつびょう？	
V0000316142	ごがつびょう？ 
V0000316143	そう。だいがく いちねんの しがつは、あたらしいことばかりで、 まいにち きんちょうするでしょう。	
V0000316144	そう。だいがく いちねんの しがつは、あたらしいことばかりで、 まいにち きんちょうするでしょう。 
V0000316145	で、そのつかれが、 ５がつの れんきゅうのあとに、 いっきに でてきたんだよ。	
V0000316146	で、そのつかれが、 ５がつの れんきゅうのあとに、 いっきに でてきたんだよ。 
V0000316147	どうしたら・・・いいんですか。	
V0000316148	どうしたら・・・いいんですか。 
V0000316149	あたらしい かんきょうに なれるのは、むずかしいんだから、 あせるひつようは ないよ。	
V0000316150	あたらしい かんきょうに なれるのは、むずかしいんだから、 あせるひつようは ないよ。 
V0000316151	ま、きらくにね。	
V0000316152	ま、きらくにね。 
V0000316153	はい！ありがとうございます！	
V0000316154	はい！ありがとうございます！ 
V0000316155	あ、そうそう。 ぼく、 ごがつびょうについての ほんを かいているから、 ほんやで かってね。	
V0000316156	あ、そうそう。 ぼく、 ごがつびょうについての ほんを かいているから、 ほんやで かってね。 
V0000316157	ごうこん
V0000316158	そうぞうする
V0000316159	はずむ
V0000316160	きょうつう
V0000316161	わだいになる
V0000316162	こうし
V0000316163	りょうりきょうしつ
V0000316164	だらけ
V0000316165	つづく
V0000316166	かんけい
V0000316167	みりょく
V0000316168	しょたいめん
V0000316169	さんかしゃ
P0000123214	わたしは、いま、
P0000123214	りょうりきょうしつにきています。	
P0000123215	わたしは、いま、
P0000123215	りょうりきょうしつにきています。 
V0000316170	きょうは、さいきんわだいになっている、「りょうりごうこん」についてレポートします。	
V0000316171	きょうは、さいきんわだいになっている、「りょうりごうこん」についてレポートします。 
P0000123216	では、
P0000123216	りょうりきょうしつのこうしもりひかりせんせいにおはなしをきいてみましょう。	
P0000123217	では、
P0000123217	りょうりきょうしつのこうしもりひかりせんせいにおはなしをきいてみましょう。 
V0000316172	せんせいよろしくおねがいします。	
V0000316173	せんせいよろしくおねがいします。 
V0000316174	よろしくおねがいします。	
V0000316175	よろしくおねがいします。 
V0000316176	せんせい、「りょうりごうこん」というのは・・・	
V0000316177	"せんせい、「りょうりごうこん」というのは・・・ 
V0000316178	りょうりきょうしつでのごうこん・・・	
V0000316179	りょうりきょうしつでのごうこん・・・ 
V0000316180	つまり、しょたいめんのだんじょのグループがりょうりをいっしょにして、しりあうことができるパーティーです。	
V0000316181	つまり、しょたいめんのだんじょのグループがりょうりをいっしょにして、しりあうことができるパーティーです。 
V0000316182	りょうりごうこんのみりょくは、なんでしょうか。	
V0000316183	りょうりごうこんのみりょくは、なんでしょうか。 
V0000316184	まず、りょうりのべんきょうになります。	
V0000316185	まず、りょうりのべんきょうになります。 
V0000316186	そして、りょうりごうこんでしりあったカップルはながくつづくといわれています。	
V0000316187	そして、りょうりごうこんでしりあったカップルはながくつづくといわれています。 
V0000316188	そうなんですかー。どうしてかんけいがつづきやすいんですか。	
V0000316189	そうなんですかー。どうしてかんけいがつづきやすいんですか。 
V0000316190	いっしょにりょうりをつくるので、あいてのせいかくがわかりやすいんです。	
V0000316191	いっしょにりょうりをつくるので、あいてのせいかくがわかりやすいんです。 
V0000316192	きょうつうのわだいがあって、はなしもはずみますし。	
V0000316193	きょうつうのわだいがあって、はなしもはずみますし。 
V0000316194	なるほど。	
V0000316195	なるほど。 
V0000316196	さんかしゃのなかには、「けっこんごのせいかつがそうぞうしやすい」っていうひともいるんですよ。	
V0000316197	さんかしゃのなかには、「けっこんごのせいかつがそうぞうしやすい」っていうひともいるんですよ。 
V0000316198	りょうりがならえて、さいこうのパートナーもみつけられるんですね。	
V0000316199	りょうりがならえて、さいこうのパートナーもみつけられるんですね。 
V0000316200	まさに、いいことだらけ！いいなー。わたしもさんかしたーい。	
V0000316201	まさに、いいことだらけ！いいなー。わたしもさんかしたーい。 
V0000316202	もの
V0000316203	けいひん
V0000316204	こうどく
V0000316205	たくはいびん
V0000316206	がくひ
V0000316207	ひっこし
V0000316208	さしあげる
V0000316209	しょうひんけん
V0000316210	けいやく
V0000316211	はさむ
V0000316212	どかす
V0000316213	たくはいびんでーす。	
V0000316214	たくはいびんでーす。 
V0000316215	はーい。	
V0000316216	はーい。 
V0000316217	すみませーん、わたくし、あかさかしんぶんのものなんですが・・・	
V0000316218	すみませーん、わたくし、あかさかしんぶんのものなんですが・・・ 
V0000316219	え・・（こころのこえ-たくはいびんじゃないじゃん！どうしよう。うちしんぶんいらないし。）	
V0000316220	え・・（こころのこえ-たくはいびんじゃないじゃん！どうしよう。うちしんぶんいらないし。） 
V0000316221	しんぶんをこうどくしませんか。	
V0000316222	しんぶんをこうどくしませんか。 
V0000316223	あー、もうしわけないんですけど、もうまにあっていますので、だいじょうぶです。	
V0000316224	あー、もうしわけないんですけど、もうまにあっていますので、だいじょうぶです。 
V0000316225	（こころのこえ-あー！あー！このひと、ドアにあしをはさんでる！）	
V0000316226	（こころのこえ-あー！あー！このひと、ドアにあしをはさんでる！） 
V0000316227	いま、けいやくすると、けいひんがつきますよ。	
V0000316228	いま、けいやくすると、けいひんがつきますよ。 
V0000316229	せんざいごはこ、しょうひんけんさんぜんえんぶん、そして、ディズニーランドのパスポートをさしあげます。	
V0000316230	せんざいごはこ、しょうひんけんさんぜんえんぶん、そして、ディズニーランドのパスポートをさしあげます。 
V0000316231	わたし、らいねんのしがつにはひっこしするんですけど・・・	
V0000316232	わたし、らいねんのしがつにはひっこしするんですけど・・・ 
V0000316233	では、ひっこすまで、しんぶんをこうどくしませんか？	
V0000316234	では、ひっこすまで、しんぶんをこうどくしませんか？ 
V0000316235	すみません、けっこうです！！！	
V0000316236	すみません、けっこうです！！！ 
V0000316237	ドアをしめますので、あしどかしてください！！！！	
V0000316238	ドアをしめますので、あしどかしてください！！！！ 
V0000316239	あれ？もしかして・・・あかさかしょうがっこうのしゅっしん？	
V0000316240	あれ？もしかして・・・あかさかしょうがっこうのしゅっしん？ 
V0000316241	はい？あ、けんちゃん！？？	
V0000316242	はい？あ、けんちゃん！？？ 
V0000316243	ひさしぶり！	
V0000316244	ひさしぶり！ 
V0000316245	けんちゃん。。。しんぶんのセールスしているんだ。	
V0000316246	けんちゃん。。。しんぶんのセールスしているんだ。 
V0000316247	あ・・・うん。がくひのためにね。	
V0000316248	あ・・・うん。がくひのためにね。 
V0000316249	わかった！じゃ、けいやくする。	
V0000316250	わかった！じゃ、けいやくする。 
V0000316251	ちしき
V0000316252	しゃこうせい
V0000316253	そんをする
V0000316254	のべる
V0000316255	けつろん
V0000316256	そもそも
V0000316257	りけい
V0000316258	ぶんけい
V0000316259	しっかりと
V0000316260	とにかく
V0000316261	だます
V0000316262	くだらない
V0000316263	さっか
V0000316264	みなさんこんばんは。ＤＪマキコです。	
V0000316265	みなさんこんばんは。ＤＪマキコです。 
V0000316266	きょうのゲストは　ベストセラーさっかの、なつめごろうさんです。よろしくおねがいします。	
V0000316267	きょうのゲストは　ベストセラーさっかの、なつめごろうさんです。よろしくおねがいします。 
V0000316268	よろしく。	
V0000316269	よろしく。 
V0000316270	では、さいしょのしつもんをよみますね。	
V0000316271	では、さいしょのしつもんをよみますね。 
V0000316272	マキコさん、なつめせんせい、こんにちは。	
V0000316273	マキコさん、なつめせんせい、こんにちは。 
V0000316274	はい。こんにちは。	
V0000316275	はい。こんにちは。 
V0000316276	わたしは、こうこういちねんせいです。	
V0000316277	"わたしは、こうこういちねんせいです。 
V0000316278	「すうがく」や「ぶつり」などのりけいのかもくはきらいではないのですが、「こくご」がいちばんすきです。	
V0000316279	「すうがく」や「ぶつり」などのりけいのかもくはきらいではないのですが、「こくご」がいちばんすきです。 
V0000316280	しょうらいは、しょうせつかになりたいとおもっているので、りけいのかもくはべんきょうしなくてもよいですか。	
V0000316281	"しょうらいは、しょうせつかになりたいとおもっているので、りけいのかもくはべんきょうしなくてもよいですか。 
V0000316282	けつろんをのべます。「ぜったいにべんきょうしなさい！」	
V0000316283	"けつろんをのべます。「ぜったいにべんきょうしなさい！」 
V0000316284	そもそも、ぶんけいとりけいにわけるかんがえかたがおかしいんだ。	
V0000316285	そもそも、ぶんけいとりけいにわけるかんがえかたがおかしいんだ。 
V0000316286	どうして、おかしいんですか。	
V0000316287	どうして、おかしいんですか。 
V0000316288	にんげん、ちしきをもっていて、そんをすることはないんだよ。	
V0000316289	にんげん、ちしきをもっていて、そんをすることはないんだよ。 
P0000123218	たとえば、わたしはしょうせつかだけど、
P0000123218	しょうせつをかくときにはりけいのちしきがひつようになる。	
