V0000361331	木星（もくせい） あの上の方で光っている星は木星だ
V0000361332	申し訳ないんですが （もうしわけないんですか） 眞子さん、申し訳ないんですがお金を少し貸してもらえませんか
P0000156419	国民（こくみん） 人民（じんみん）
P0000156419	日本国民 国民の祝日
V0000361333	廃墟（はいきょ） 廃墟になる/と化す(かする) 町は今，廃墟になっている
V0000361334	明け方（あけがた） 赤ん坊は明け方近くに生まれた
V0000361335	盆踊り（ぼんおどり）
V0000361336	海流（かいりゅう） 日本海流
V0000361337	垂直（な/の）（すいちょく） 水平（な/の）（すいへい） その崖（がけ）はほとんど垂直です
V0000361338	読み物（よみもの） この本は面白い読み物です
V0000361339	上る（のぼります）
V0000361340	一言（ひとこと） 一言も言わずに 一言で言うと 終わりに一言
V0000361341	警察署（けいさつしょ） 交番（こうばん） 警察署長
V0000361342	基本的（きほんてき） 犬を飼うための基本的ルールは何ですか
V0000361343	足元（あしもと） あなたは途中ずっと足元を見なければなりません
V0000361344	～と同じぐらい 古代ギリシアは太陽系について私達と同じぐらいよく知っている
V0000361345	葬る（ほうむります） 彼は海に葬られた その国は過去を葬りたかったのだ
V0000361346	エアロビクス
V0000361347	ユニーク（な） ユニークな芸術作品
V0000361348	要約する（ようやく） 彼の演説の要約が新聞に載せられた
V0000361349	客席（きゃくせき） この劇場には500人分の客席がある
V0000361350	（～に）賛成する（さんせい） 私もあなたの意見に賛成です
V0000361351	ユダヤ大虐殺（だいぎゃくさつ）
V0000361352	環状道路（かんじょうどうろ） 環状の（かんじょう）
V0000361353	忙しい仕事（しごと）
V0000361354	所々（ところどころ） あちこち あちらこちら 雪がところどころ残っている
V0000361355	国外（こくがい） 海外（かいがい） 上田さんは主に国外で活躍（かつやく）している
V0000361356	埃（ほこり） 誇り（ほこり）
V0000361357	地上（ちじょう） 地上の事 地上の楽園 地上に/で
V0000361358	鮪（まぐろ）
V0000361359	作成（さくせい） 契約（けいやく）を作成する
V0000361360	どれ 動物でどれが一番好きですか
V0000361361	狂信者（きょうしんしゃ） 狂信（きょうしん） 狂信する
V0000361362	サービス業
V0000361363	静脈（じょうみゃく） 動脈（どうみゃく）
P0000156420	国籍（こくせき） 市民権（しみんけん）
P0000156420	二重国籍者 (にじゅうこくせきしゃ)
P0000156421	値（あたい） 値段（ねだん）
P0000156421	この本はもっと安い値でかった
V0000361364	広い（ひろい） 幅広い（はばひろい）
V0000361365	八百屋（やおや）
V0000361366	ボタン シャツのボタンを掛ける
V0000361367	和菓子（わがし）
V0000361368	学生時代 学生時代、イギリスに半年留学した
V0000361369	追跡する（ついせき） その警官は泥棒を追跡した
V0000361370	パンクする タイヤがパンクした 僕の自転車はパンクしている
V0000361371	分子（ぶんし） 水分子（みずぶんし）は２個の水素原子と１個酸素原子からなる
V0000361372	上昇（じょうしょう） 上がる（あがります） 物価はますます上昇しています 海水の温度が年々上昇している
V0000361373	潜水する（せんすい） 潜る（もぐります）
V0000361374	湿度（しつど） 湿度が高い 多湿（たしつ）です
P0000156422	フード 風土（ふうど） 
P0000156422	ずきん ずきんをかぶる
V0000361375	宿泊（しゅくはく） 旅館に宿泊する 旅館に泊まる（とまります）
V0000361376	証拠（しょうこ） 証拠は明らかだ
V0000361377	暫くですね 久しぶり（ひさしぶり） 久々（ひさびさ）
P0000156423	凍える（こごえます） 凍る（こおります）
P0000156423	指が凍えてしまった 凍えた足
V0000361378	資本主義（しほんしゅぎ） 共産主義（きょうさんしゅぎ）
V0000361379	ぬれた ぬれたタオル
V0000361380	思い付き アイデア 考え 何てよい思い付きなのでしょう！
V0000361381	血（ち） 血液（けつえき）
V0000361382	地名（ちめい） その地名は伝説に由来している
V0000361383	受精する（じゅせい） 人工授精（じんこうじゅせい） 体外受精（たいがいじゅせい）
V0000361384	首相（しゅしょう） 総理大臣（そうりだいじん）
V0000361385	果たして（はたして） やはり やっぱり 彼は果たして成功した
V0000361386	お気に入り（の）（おきにいり） 好き（な） これはあなたのお気に入りの曲ですか
V0000361387	若い時（わかいとき）
P0000156424	乏しい（とぼしい） 
P0000156424	貧乏（な）（びんぼう）
P0000156424	貧しい（まずしい）
P0000156424	金が乏しい 乏しい学歴
V0000361388	さて さて始めよう
P0000156425	面倒くさい（めんどうくさい） 面倒（な）（めんどう）
P0000156425	うざい
P0000156425	まったく面倒臭い仕事だ
V0000361389	熱心（な）（ねっしん） ワットさんは熱心だし、まじめだし、それに経験もある
V0000361390	爪楊枝（つまようじ）
V0000361391	垣根（かきね） 彼はその垣根を飛び越えた
V0000361392	太子（たいし） 皇太子（こうたいし） 大使（たいし） 
P0000156426	貯金する（ちょきん）
P0000156426	倹約する（けんやく） 
P0000156426	節約する（せつやく） 
P0000156426	貯金がある
V0000361393	半ば（なかば） 七月の半ば
P0000156427	担架（たんか） 短歌（たんか）31-
P0000156427	担架で運ぶ（はこびます） 担架に乗せる
V0000361394	一度も（いちども） 一回も（いっかいも）
V0000361395	蛋白質（たんぱくしつ） たんぱく質に富む（とみます）
P0000156428	四字熟語 
P0000156428	～に　悪戦苦闘する（あくせんくとう） 資金集めに悪戦苦闘する
V0000361396	まな板（まないた） まな板の上の鯉（こい）のようなものだ
V0000361397	谷（たに） その谷で金が見つかったといううわさがある
V0000361398	動機（どうき） 殺害の動機は分からない
V0000361399	バッテリー バッテリーが上がった（あがった） バッテリーを充電する
V0000361400	魔法使い
V0000361401	活発（な）（かっぱつ） 生き生き（いきいき） うちの母は活発です
V0000361402	爪（つめ） 常用外
V0000361403	アイスランド
V0000361404	精巣（せいそう） 金玉（きんたま）
V0000361405	敬老（けいろう） 敬老の日（けいろうのひ) (９月の第３月曜日)
V0000361406	有罪（ゆうざい） すべての証拠は彼の有罪を示している
P0000156429	インフルエンザ 風邪（かぜ）
P0000156429	インフルエンザにかかりました 風邪をひく
V0000361407	プディング
V0000361408	関係（かんけい） 犯罪に関係する
V0000361409	鮫（さめ） 常用外
V0000361410	少なくとも（すくなくとも） この仕事を完成するには、少なくとも一ヶ月はかかります
V0000361411	お経（きょう） お経をあげる[読む]
V0000361412	初めての人 初心者（しょしんしゃ）
V0000361413	南極（なんきょく）
P0000156430	言い訳（いいわけ）
P0000156430	口実（こうじつ） したことを言い訳するな
V0000361414	食品店（しょくひんてん）
V0000361415	する事が出来る
V0000361416	（お）湯（ゆ） 薬缶の湯が沸いている
V0000361417	有害（な）（ゆうがい） タバコは健康に有害です
V0000361418	地理学（ちりがく） 日本の地理
V0000361419	建築家（けんちくか） 建築家はモダンな家を建てる
V0000361420	成績（せいせき） 点数（てんすう） 学校の成績は普通でした
V0000361421	北極（ほっきょく） 南極（なんきょく）
V0000361422	～を　聞き取る（ききとります） 人の話を聞き取る 英語を聞き取る力
V0000361423	面接時間（めんせつじかん）
V0000361424	キャットウォーク
V0000361425	取り替える（とりかえます） ラジオの部品が壊れたので、新しいのに取り替えました
V0000361426	メリークリスマス！
V0000361427	司書（ししょ） 図書館（としょかん）
P0000156431	乾かす（かわかす） 干す（ほします） 
P0000156431	乾く（かわきます） 洗濯物を日光で乾かす/干す
V0000361428	気が狂う（くるいます） 失恋して気が狂った
V0000361429	書類（しょるい） 資料（しりょう）
V0000361430	流砂（りゅうさ/りゅうしゃ） 
V0000361431	よく、いらっしゃいました。
V0000361432	氷河（ひょうが） 氷河時代
V0000361433	集金（しゅうきん） 彼はガス料金の集金に回っています 集金人（しゅうきんにん）
P0000156432	(略
P0000156432	性感染症 （せいかんせんしょう） 現在20種を越える性感染症が確認されている
V0000361434	愛読書（あいどくしょ）
V0000361435	オリジナル（な）
P0000156433	裏口（うらぐち） 
P0000156433	彼は裏口入学した 裏口契約（うらぐちじょうやく）
V0000361436	余り（あまり） 魚の余りを猫にやりました
